|-------------------|------------|-------------|-------------|----------------------------|
|      监控时间      |  CPU使用率  |   内存使用率  |   硬盘使用率  |          网络收发量          |
|                   | (共4核CPU)  |  (总计7G内存) | (总计59G硬盘)|                            |
|-------------------|------------|-------------|-------------|----------------------------|
|2020-12-27 20:26:40|    16.2%   |    83.4%    |    26.6%    |   收:104825080/发:15064811  |
|-------------------|------------|-------------|-------------|----------------------------|


|-------------------|------------|-------------|-------------|----------------------------|
|      监控时间      |  CPU使用率  |   内存使用率  |   硬盘使用率  |          网络收发量          |
|                   | (共4核CPU)  |  (总计7G内存) | (总计59G硬盘)|                            |
|-------------------|------------|-------------|-------------|----------------------------|
|2020-12-27 20:26:45|    19.0%   |    83.4%    |    26.6%    |   收:104832129/发:15068305  |
|-------------------|------------|-------------|-------------|----------------------------|


|-------------------|------------|-------------|-------------|----------------------------|
|      监控时间      |  CPU使用率  |   内存使用率  |   硬盘使用率  |          网络收发量          |
|                   | (共4核CPU)  |  (总计7G内存) | (总计59G硬盘)|                            |
|-------------------|------------|-------------|-------------|----------------------------|
|2020-12-27 20:26:50|    18.3%   |    83.5%    |    26.6%    |   收:104836473/发:15076072  |
|-------------------|------------|-------------|-------------|----------------------------|


|-------------------|------------|-------------|-------------|----------------------------|
|      监控时间      |  CPU使用率  |   内存使用率  |   硬盘使用率  |          网络收发量          |
|                   | (共4核CPU)  |  (总计7G内存) | (总计59G硬盘)|                            |
|-------------------|------------|-------------|-------------|----------------------------|
|2020-12-27 20:26:55|    51.2%   |    83.7%    |    26.6%    |   收:104837938/发:15081397  |
|-------------------|------------|-------------|-------------|----------------------------|


|-------------------|------------|-------------|-------------|----------------------------|
|      监控时间      |  CPU使用率  |   内存使用率  |   硬盘使用率  |          网络收发量          |
|                   | (共4核CPU)  |  (总计7G内存) | (总计59G硬盘)|                            |
|-------------------|------------|-------------|-------------|----------------------------|
|2020-12-27 20:27:00|    15.0%   |    83.8%    |    26.6%    |   收:104865187/发:15086001  |
|-------------------|------------|-------------|-------------|----------------------------|


